SEASON,SEASON_START_DATE,TEAM_A_ID,TEAM_A_NAME,TEAM_B_ID,TEAM_B_NAME,DATE_BEFORE_GAME,GAME_DATE,HOME_TEAM,WINNER
2000-01,2000-10-31,1610612747,Lakers,1610612744,Warriors,2001-03-05,2001-03-06,0,1
2000-01,2000-10-31,1610612747,Lakers,1610612744,Warriors,2001-03-03,2001-03-04,1,1
2000-01,2000-10-31,1610612747,Lakers,1610612744,Warriors,2000-12-05,2000-12-06,0,0
2000-01,2000-10-31,1610612747,Lakers,1610612744,Warriors,2000-11-21,2000-11-22,1,1
2001-02,2001-10-30,1610612747,Lakers,1610612744,Warriors,2002-03-13,2002-03-14,0,1
2001-02,2001-10-30,1610612747,Lakers,1610612744,Warriors,2001-12-25,2001-12-26,0,0
2001-02,2001-10-30,1610612747,Lakers,1610612744,Warriors,2001-12-15,2001-12-16,1,1
2001-02,2001-10-30,1610612747,Lakers,1610612744,Warriors,2001-11-22,2001-11-23,1,1
2002-03,2002-10-29,1610612747,Lakers,1610612744,Warriors,2003-04-15,2003-04-16,0,1
2002-03,2002-10-29,1610612747,Lakers,1610612744,Warriors,2003-01-21,2003-01-22,1,0
2002-03,2002-10-29,1610612747,Lakers,1610612744,Warriors,2002-12-09,2002-12-10,0,0
2002-03,2002-10-29,1610612747,Lakers,1610612744,Warriors,2002-11-14,2002-11-15,1,1
2003-04,2003-10-28,1610612747,Lakers,1610612744,Warriors,2004-04-12,2004-04-13,1,1
2003-04,2003-10-28,1610612747,Lakers,1610612744,Warriors,2004-02-17,2004-02-18,0,1
2003-04,2003-10-28,1610612747,Lakers,1610612744,Warriors,2003-12-22,2003-12-23,0,0
2003-04,2003-10-28,1610612747,Lakers,1610612744,Warriors,2003-11-01,2003-11-02,1,1
2004-05,2004-11-02,1610612747,Lakers,1610612744,Warriors,2005-04-17,2005-04-18,0,0
2004-05,2004-11-02,1610612747,Lakers,1610612744,Warriors,2005-01-20,2005-01-21,1,1
2004-05,2004-11-02,1610612747,Lakers,1610612744,Warriors,2005-01-14,2005-01-15,0,1
2004-05,2004-11-02,1610612747,Lakers,1610612744,Warriors,2004-12-02,2004-12-03,1,1
2005-06,2005-11-01,1610612747,Lakers,1610612744,Warriors,2006-04-10,2006-04-11,1,1
2005-06,2005-11-01,1610612747,Lakers,1610612744,Warriors,2006-03-02,2006-03-03,0,1
2005-06,2005-11-01,1610612747,Lakers,1610612744,Warriors,2006-01-26,2006-01-27,1,1
2005-06,2005-11-01,1610612747,Lakers,1610612744,Warriors,2006-01-13,2006-01-14,0,1
2006-07,2006-10-31,1610612747,Lakers,1610612744,Warriors,2007-03-24,2007-03-25,1,1
2006-07,2006-10-31,1610612747,Lakers,1610612744,Warriors,2007-02-24,2007-02-25,0,1
2006-07,2006-10-31,1610612747,Lakers,1610612744,Warriors,2007-01-21,2007-01-22,1,1
2007-08,2007-10-30,1610612747,Lakers,1610612744,Warriors,2008-03-23,2008-03-24,0,1
2007-08,2007-10-30,1610612747,Lakers,1610612744,Warriors,2008-03-22,2008-03-23,1,0
2007-08,2007-10-30,1610612747,Lakers,1610612744,Warriors,2007-12-13,2007-12-14,0,0
2007-08,2007-10-30,1610612747,Lakers,1610612744,Warriors,2007-12-08,2007-12-09,1,1
2008-09,2008-10-28,1610612747,Lakers,1610612744,Warriors,2009-03-18,2009-03-19,1,1
2008-09,2008-10-28,1610612747,Lakers,1610612744,Warriors,2009-02-17,2009-02-18,0,1
2008-09,2008-10-28,1610612747,Lakers,1610612744,Warriors,2009-01-06,2009-01-07,0,1
2008-09,2008-10-28,1610612747,Lakers,1610612744,Warriors,2008-12-27,2008-12-28,1,1
2009-10,2009-10-27,1610612747,Lakers,1610612744,Warriors,2010-03-14,2010-03-15,0,1
2009-10,2009-10-27,1610612747,Lakers,1610612744,Warriors,2010-02-15,2010-02-16,1,1
2009-10,2009-10-27,1610612747,Lakers,1610612744,Warriors,2009-12-28,2009-12-29,1,1
2009-10,2009-10-27,1610612747,Lakers,1610612744,Warriors,2009-11-27,2009-11-28,0,1
2010-11,2010-10-26,1610612747,Lakers,1610612744,Warriors,2011-04-05,2011-04-06,0,0
2010-11,2010-10-26,1610612747,Lakers,1610612744,Warriors,2011-01-11,2011-01-12,0,1
2010-11,2010-10-26,1610612747,Lakers,1610612744,Warriors,2010-11-20,2010-11-21,1,1
2010-11,2010-10-26,1610612747,Lakers,1610612744,Warriors,2010-10-30,2010-10-31,1,1
2011-12,2011-12-25,1610612747,Lakers,1610612744,Warriors,2012-04-17,2012-04-18,0,1
2011-12,2011-12-25,1610612747,Lakers,1610612744,Warriors,2012-03-31,2012-04-01,1,1
2011-12,2011-12-25,1610612747,Lakers,1610612744,Warriors,2012-03-26,2012-03-27,0,1
2011-12,2011-12-25,1610612747,Lakers,1610612744,Warriors,2012-01-05,2012-01-06,1,1
2012-13,2012-10-30,1610612747,Lakers,1610612744,Warriors,2013-04-11,2013-04-12,1,1
2012-13,2012-10-30,1610612747,Lakers,1610612744,Warriors,2013-03-24,2013-03-25,0,0
2012-13,2012-10-30,1610612747,Lakers,1610612744,Warriors,2012-12-21,2012-12-22,0,1
2012-13,2012-10-30,1610612747,Lakers,1610612744,Warriors,2012-11-08,2012-11-09,1,1
2013-14,2013-10-29,1610612747,Lakers,1610612744,Warriors,2014-04-10,2014-04-11,1,0
2013-14,2013-10-29,1610612747,Lakers,1610612744,Warriors,2013-12-20,2013-12-21,0,0
2013-14,2013-10-29,1610612747,Lakers,1610612744,Warriors,2013-11-21,2013-11-22,1,1
2014-15,2014-10-28,1610612747,Lakers,1610612744,Warriors,2015-03-15,2015-03-16,0,0
2014-15,2014-10-28,1610612747,Lakers,1610612744,Warriors,2014-12-22,2014-12-23,1,1
2014-15,2014-10-28,1610612747,Lakers,1610612744,Warriors,2014-11-15,2014-11-16,1,0
2014-15,2014-10-28,1610612747,Lakers,1610612744,Warriors,2014-10-31,2014-11-01,0,0
2015-16,2015-10-27,1610612747,Lakers,1610612744,Warriors,2016-03-05,2016-03-06,1,1
2015-16,2015-10-27,1610612747,Lakers,1610612744,Warriors,2016-01-13,2016-01-14,0,0
2015-16,2015-10-27,1610612747,Lakers,1610612744,Warriors,2016-01-04,2016-01-05,1,0
2015-16,2015-10-27,1610612747,Lakers,1610612744,Warriors,2015-11-23,2015-11-24,0,0
2016-17,2016-10-25,1610612747,Lakers,1610612744,Warriors,2017-04-11,2017-04-12,0,0
2016-17,2016-10-25,1610612747,Lakers,1610612744,Warriors,2016-11-24,2016-11-25,1,0
2016-17,2016-10-25,1610612747,Lakers,1610612744,Warriors,2016-11-22,2016-11-23,0,0
2016-17,2016-10-25,1610612747,Lakers,1610612744,Warriors,2016-11-03,2016-11-04,1,1
2017-18,2017-10-17,1610612747,Lakers,1610612744,Warriors,2018-03-13,2018-03-14,0,0
2017-18,2017-10-17,1610612747,Lakers,1610612744,Warriors,2017-12-21,2017-12-22,0,0
2017-18,2017-10-17,1610612747,Lakers,1610612744,Warriors,2017-12-17,2017-12-18,1,0
2017-18,2017-10-17,1610612747,Lakers,1610612744,Warriors,2017-11-28,2017-11-29,1,0
2018-19,2018-10-16,1610612747,Lakers,1610612744,Warriors,2019-04-03,2019-04-04,1,0
2018-19,2018-10-16,1610612747,Lakers,1610612744,Warriors,2019-02-01,2019-02-02,0,0
2018-19,2018-10-16,1610612747,Lakers,1610612744,Warriors,2019-01-20,2019-01-21,1,0
2018-19,2018-10-16,1610612747,Lakers,1610612744,Warriors,2018-12-24,2018-12-25,0,1
2019-20,2019-10-22,1610612747,Lakers,1610612744,Warriors,2020-02-26,2020-02-27,0,1
2019-20,2019-10-22,1610612747,Lakers,1610612744,Warriors,2020-02-07,2020-02-08,0,1
2019-20,2019-10-22,1610612747,Lakers,1610612744,Warriors,2019-11-12,2019-11-13,1,1
2020-21,2020-12-22,1610612747,Lakers,1610612744,Warriors,2021-01-17,2021-01-18,1,0
