GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
68,98.5,0.433,0.328,0.762,13.4,31.0,21.6,18.0,-7.0,98.5,105.3,0.592,1.2,15.7,0.455,0.509,0.452
64,98.6,0.431,0.325,0.766,13.4,31.0,21.5,17.8,-7.1,98.6,105.4,0.591,1.21,15.6,0.454,0.507,0.451
73,103.1,0.441,0.388,0.777,14.1,32.6,23.5,14.2,-1.0,103.1,104.2,0.588,1.65,16.7,0.464,0.509,0.492
47,102.8,0.434,0.395,0.77,14.9,33.4,22.6,14.1,0.0,102.8,103.0,0.57,1.6,16.1,0.459,0.503,0.497
71,101.7,0.442,0.315,0.774,12.3,32.5,21.5,15.0,-0.3,101.7,102.0,0.568,1.44,15.8,0.462,0.516,0.503
5,96.6,0.413,0.25,0.799,13.2,35.5,21.1,16.6,7.2,96.6,89.2,0.607,1.27,15.4,0.429,0.495,0.571
56,96.5,0.42,0.33,0.718,14.3,30.8,20.2,18.3,-5.4,96.5,101.7,0.565,1.11,14.7,0.45,0.495,0.447
14,98.6,0.419,0.358,0.712,15.1,31.5,20.0,17.3,-0.5,98.6,98.7,0.546,1.15,14.5,0.453,0.496,0.467
60,105.0,0.431,0.341,0.728,14.8,30.4,20.2,14.6,-0.4,105.0,105.6,0.532,1.38,14.6,0.468,0.517,0.483
20,103.7,0.42,0.319,0.738,15.7,30.7,21.4,14.6,2.4,103.7,101.2,0.566,1.46,15.2,0.454,0.503,0.5
25,105.1,0.439,0.339,0.742,13.1,31.2,20.0,14.6,0.1,105.1,104.9,0.528,1.37,14.7,0.475,0.525,0.493
20,104.1,0.434,0.334,0.727,13.4,31.4,20.0,14.4,0.8,104.1,103.3,0.53,1.38,14.7,0.469,0.518,0.502
45,111.2,0.46,0.364,0.773,12.5,29.7,21.0,13.8,1.2,111.2,109.7,0.524,1.52,15.5,0.502,0.552,0.495
22,108.8,0.452,0.361,0.764,12.2,30.5,20.8,14.6,0.9,108.8,107.6,0.531,1.42,15.3,0.493,0.543,0.497
72,107.0,0.444,0.347,0.787,13.2,32.0,21.0,14.4,0.1,107.0,106.9,0.532,1.46,15.3,0.485,0.532,0.49
45,106.6,0.445,0.343,0.795,13.1,32.8,20.8,15.1,1.0,106.6,105.5,0.53,1.37,15.2,0.486,0.535,0.497
41,103.7,0.447,0.317,0.753,12.9,30.7,22.1,14.7,-7.0,103.7,110.7,0.552,1.5,16.0,0.477,0.518,0.452
16,105.2,0.448,0.312,0.749,12.5,31.2,22.0,13.9,-5.3,105.2,110.4,0.551,1.59,16.0,0.48,0.523,0.468
67,102.9,0.446,0.339,0.762,12.7,32.3,19.9,15.7,-5.0,102.9,108.1,0.508,1.26,14.7,0.478,0.521,0.462
43,104.0,0.444,0.351,0.763,12.2,32.4,19.5,15.1,-4.4,104.0,108.4,0.503,1.29,14.5,0.479,0.525,0.467
22,102.7,0.447,0.337,0.758,12.6,28.3,21.4,17.4,-8.8,102.7,111.3,0.556,1.23,15.7,0.482,0.526,0.442
19,103.0,0.448,0.327,0.763,12.8,28.6,21.6,17.0,-8.1,103.0,110.8,0.553,1.27,15.7,0.481,0.524,0.448
37,98.3,0.431,0.32,0.72,12.8,31.4,19.2,16.6,-9.1,98.3,107.4,0.505,1.16,14.2,0.461,0.498,0.434
67,98.7,0.435,0.365,0.736,11.5,34.7,23.4,16.5,-2.6,98.7,100.9,0.621,1.42,17.1,0.476,0.512,0.484
19,96.0,0.407,0.311,0.749,12.4,33.0,21.5,16.0,-7.0,96.0,102.3,0.594,1.34,15.7,0.446,0.486,0.452
68,104.7,0.454,0.387,0.731,11.5,32.6,24.3,15.2,0.4,104.7,104.3,0.605,1.6,17.6,0.502,0.535,0.499
13,101.9,0.437,0.393,0.737,11.6,31.6,24.8,15.9,-2.3,101.9,104.3,0.642,1.56,17.9,0.491,0.523,0.482
45,105.0,0.475,0.379,0.74,10.8,35.0,26.2,15.6,2.4,105.0,102.8,0.637,1.68,18.8,0.512,0.545,0.54
16,104.5,0.466,0.384,0.736,11.0,34.0,26.3,15.5,2.3,104.5,102.2,0.655,1.7,18.8,0.502,0.54,0.542
72,104.3,0.458,0.36,0.736,9.0,32.5,24.3,14.5,-1.1,104.3,105.4,0.616,1.68,17.9,0.508,0.542,0.492
15,99.3,0.432,0.342,0.763,9.1,33.0,22.0,16.4,-4.7,99.3,103.8,0.616,1.34,16.5,0.483,0.528,0.473
73,110.2,0.474,0.373,0.788,10.4,33.1,24.3,14.3,2.4,110.2,108.0,0.583,1.7,17.7,0.526,0.564,0.516
48,109.2,0.477,0.37,0.784,10.4,33.5,23.9,14.8,2.0,109.2,107.3,0.57,1.62,17.5,0.527,0.561,0.514
10,108.2,0.459,0.377,0.762,10.0,31.7,22.6,14.5,1.7,108.2,106.6,0.584,1.56,16.7,0.517,0.561,0.507
3,110.3,0.465,0.304,0.842,10.6,30.1,22.4,13.5,4.5,110.3,106.1,0.588,1.67,16.7,0.506,0.572,0.556
74,110.3,0.47,0.345,0.771,9.1,31.4,25.6,13.8,-2.6,110.3,112.7,0.629,1.86,18.6,0.535,0.571,0.49
29,108.1,0.463,0.328,0.748,8.4,30.3,23.6,13.2,-4.7,108.1,112.7,0.594,1.79,17.5,0.523,0.559,0.476
16,113.5,0.482,0.38,0.809,9.3,30.5,27.4,13.9,-1.3,113.5,114.8,0.634,1.97,19.6,0.553,0.583,0.487
